number,altitude,longitude,latitude
0,13.5,21.44380306,-30.7129252
1,13.5,21.44390085,-30.7126053
2,13.5,21.44355442,-30.7130784
3,13.5,21.44319474,-30.7128804
4,13.5,21.44259918,-30.7133365
5,13.5,21.44282392,-30.7136089
6,13.5,21.44369852,-30.7137203
7,13.5,21.4429543,-30.7146877
8,13.5,21.44291274,-30.7158809
9,13.5,21.44422681,-30.7144023
10,13.5,21.444809,-30.7156723
11,13.5,21.44476593,-30.7142314
12,13.5,21.44535056,-30.7143767
13,13.5,21.44636072,-30.7146042
14,13.5,21.44681895,-30.7136326
15,13.5,21.44608845,-30.7130315
16,13.5,21.44689743,-30.7127321
17,13.5,21.44597304,-30.7120682
18,13.5,21.44499267,-30.713273
19,13.5,21.44567218,-30.7136279
20,13.5,21.44490234,-30.713758
21,13.5,21.44079994,-30.7140072
22,13.5,21.44052529,-30.712338
23,13.5,21.43999592,-30.7110509
24,13.5,21.44022471,-30.7097024
25,13.5,21.44198987,-30.7090209
26,13.5,21.44285617,-30.7109017
27,13.5,21.44431225,-30.7112644
28,13.5,21.44335543,-30.7118418
29,13.5,21.44296272,-30.7121746
30,13.5,21.44567669,-30.7100276
31,13.5,21.44646253,-30.7102101
32,13.5,21.44870382,-30.7094729
33,13.5,21.44995027,-30.7032637
34,13.5,21.44762369,-30.7113107
35,13.5,21.44792048,-30.7126872
36,13.5,21.44794236,-30.7136776
37,13.5,21.447859,-30.7151979
38,13.5,21.44611607,-30.7161882
39,13.5,21.44653843,-30.7163964
40,13.5,21.44360936,-30.7174789
41,13.5,21.440888,-30.717023
42,13.5,21.44011369,-30.7152067
43,13.5,21.43731453,-30.7122126
44,13.5,21.43453602,-30.7056401
45,13.5,21.42475874,-30.7086493
46,13.5,21.42857562,-30.6952554
47,13.5,21.43785295,-30.7157209
48,13.5,21.4146123,-30.6868209
49,13.5,21.40625266,-30.7071143
50,13.5,21.42246555,-30.7186625
51,13.5,21.43501372,-30.7179944
52,13.5,21.43769653,-30.7214148
53,13.5,21.44398726,-30.7228197
54,13.5,21.45299144,-30.7155632
55,13.5,21.45643282,-30.7101845
56,13.5,21.46057174,-30.7068455
57,13.5,21.44696358,-30.6816559
58,13.5,21.4731677,-30.6868209
59,13.5,21.48236368,-30.7042055
60,13.5,21.47958867,-30.7276489
61,13.5,21.44371766,-30.7320127
62,13.5,21.42884892,-30.7336345
63,13.5,21.40819133,-30.7276489
64,15.0,21.449412,-30.71329
65,15.0,21.443214,-30.711544
66,15.0,21.442342,-30.710966
67,15.0,22.22182798,-30.2808809
68,15.0,20.89338592,-30.2622409
69,15.0,21.1123432,-30.2606717
70,15.0,21.28299042,-30.3030725
71,15.0,20.59737551,-30.3086592
72,15.0,21.4236039,-30.3609729
73,15.0,21.48118526,-30.4373526
74,15.0,22.16226869,-30.5015692
75,15.0,21.53695202,-30.4952379
76,15.0,21.57663527,-30.5608503
77,15.0,21.56819629,-30.6223174
78,15.0,21.374214,-30.638584
79,15.0,21.32584356,-30.6437272
80,15.0,21.4063313,-30.642963
81,15.0,21.42589249,-30.6538619
82,15.0,21.27685507,-30.6589218
83,15.0,21.45176724,-30.6593164
84,15.0,22.04977225,-30.6619131
85,15.0,21.57385067,-30.6696026
86,15.0,21.46088514,-30.6744684
87,15.0,21.46210788,-30.6866573
88,15.0,21.23102409,-30.6860554
89,15.0,21.46402731,-30.6923489
90,15.0,21.55113077,-30.6949733
91,15.0,21.42993471,-30.7011268
92,15.0,21.4344917,-30.701264
93,15.0,21.439049,-30.702356
94,15.0,21.4215593,-30.70258
95,15.0,21.4645868,-30.702805
96,15.0,21.4444697,-30.704982
97,15.0,21.4135728,-30.706149
98,15.0,21.4409894,-30.706517
99,15.0,21.4453007,-30.70782
100,15.0,21.4622289,-30.708744
101,15.0,21.4405906,-30.708913
102,15.0,21.4436864,-30.709254
103,15.0,21.43507924,-30.7089928
104,15.0,21.4416387,-30.71069
105,15.0,21.4451202,-30.711168
106,15.0,21.4390904,-30.711278
107,15.0,21.4437639,-30.71128
108,15.0,21.4522796,-30.711729
109,15.0,21.4443592,-30.711825
110,15.0,21.4405425,-30.711918
111,15.0,21.4423558,-30.712025
112,15.0,21.4435744,-30.712107
113,15.0,21.4444375,-30.712193
114,15.0,21.4439168,-30.712207
115,15.0,21.4426256,-30.71221
116,15.0,21.4433231,-30.712317
117,15.0,21.4473345,-30.712406
118,15.0,21.4416585,-30.712409
119,15.0,21.4436675,-30.712428
120,15.0,21.4429691,-30.71245
121,15.0,21.4422514,-30.712485
122,15.0,21.4442278,-30.712544
123,15.0,21.4052401,-30.712547
124,15.0,21.445672,-30.712552
125,15.0,21.4432796,-30.712597
126,15.0,21.4352434,-30.712648
127,15.0,21.4426044,-30.712715
128,15.0,21.4429391,-30.712722
129,15.0,21.4445107,-30.71285
130,15.0,21.4451171,-30.712941
131,15.0,21.4419132,-30.71295
132,15.0,21.4426862,-30.712981
133,15.0,21.45839335,-30.7129912
134,15.0,21.4441059,-30.712991
135,15.0,21.4423381,-30.71309
136,15.0,21.4432221,-30.713174
137,15.0,21.442917,-30.71328
138,15.0,21.4439358,-30.713328
139,15.0,21.4442883,-30.713364
140,15.0,21.4400382,-30.713405
141,15.0,21.4422628,-30.713413
142,15.0,21.4435953,-30.713434
143,15.0,21.4432548,-30.71348
144,15.0,21.4446124,-30.713603
145,15.0,21.4440499,-30.713665
146,15.0,21.4377571,-30.713717
147,15.0,21.4418779,-30.713786
148,15.0,21.4424806,-30.713809
149,15.0,21.4434036,-30.713858
150,15.0,21.4427442,-30.714023
151,15.0,21.4436833,-30.714159
152,15.0,21.4457952,-30.71416
153,15.0,21.4410498,-30.714684
154,15.0,21.4435517,-30.714778
155,15.0,21.4474835,-30.714879
156,15.0,21.4421612,-30.714887
157,15.0,21.4442517,-30.715123
158,15.0,21.4398972,-30.71568
159,15.0,21.4555383,-30.715743
160,15.0,21.4439389,-30.716027
161,15.0,21.4376419,-30.716174
162,15.0,21.4449919,-30.716377
163,15.0,21.4490364,-30.717223
164,15.0,21.444662,-30.718358
165,15.0,21.4363558,-30.71874
166,15.0,21.4402166,-30.719265
167,15.0,21.4472659,-30.720233
168,15.0,21.53229856,-30.7237543
169,15.0,21.43284944,-30.7209125
170,15.0,21.3974997,-30.722426
171,15.0,21.43389914,-30.7251786
172,15.0,21.4376456,-30.729515
173,15.0,21.51112423,-30.7347904
174,15.0,21.4424172,-30.734251
175,15.0,21.18376996,-30.7288111
176,15.0,21.3917083,-30.736333
177,15.0,21.45243193,-30.7397593
178,15.0,21.49322185,-30.7370509
179,15.0,21.4602722,-30.742016
180,15.0,21.4728481,-30.736715
181,15.0,21.39467576,-30.7522929
182,15.0,21.3971606,-30.7785514
183,15.0,21.88741798,-30.7598097
184,15.0,21.40984263,-30.8037422
185,15.0,21.1448195,-30.8098413
186,15.0,21.42369086,-30.8415849
187,15.0,21.80449227,-30.8444902
188,15.0,21.4589582,-30.8652901
189,15.0,21.50760298,-30.8815534
190,15.0,21.6973379,-30.883676
191,15.0,21.63561248,-30.8691765
192,15.0,21.10890461,-30.9106109
193,15.0,21.0771837,-31.0418938
194,15.0,21.16952104,-31.201255
195,15.0,21.26782295,-31.3407726
196,15.0,21.49901372,-31.5195923
197,0.0,21.44380306,-30.7129252
